Year    Month   VT  LP  Glacier&Rockfall  Unclassified    Largest EarthQuake
2006    March   48  17  1717    3295    1.58
    April   22  20  1150    2572    0.64
    May     35  17  1460    2331    0.95
    June    43  8   675     1551    1.08
    July    39  8   340     729     1.14
    August  26  9   352     927     0.81
    September   31  5   565     1254    1.01
    October     81  7   904     1639    1.35
    November    77  8   644     1735    1.53
    December    90  9   632     2221    1.45
2007    January     0   12  1218    2615    1.72
    February    4   0   979     3825    1.65
    March   7   1   1345    6513    0.64
    April   1   1   1171    5939    1.01
    May     21  0   1544    4129    1.02
    June    5   0   615     2107    0.64
    July    2   2   746     2165    1.14
    August  6   0   524     1692    2.27
    September   5   1   522     1472    0.7
    October     4   1   472     1115    1.96
    November    3   2   270     966     0.86
    December    7   0   434     1080    1.73
2008    January     3   0   318     968     0.55
    February    2   0   210     805     0.73
    March   1   0   275     1083    -0.4
    April   7   0   256     1453    1.62
    May     5   0   265     1931    2.63
    June    2   0   109     1207    0.88
    July    6   0   125     1148    1.4
    August  73  0   158     974     1.14
    September   12  0   118     864     1.02
    October     12  2   204     1157    0.81
    November    2   0   263     1515    0.35
    December    7   0   197     1242    0.45
2009    January     7   0   185     1490    0.64
    February    1   0   117     1017    0.45
    March   3   0   257     2272    0.88
    April   6   0   279     2245    1.3
    May     8   0   275     2360    0.73
    June    1   0   212     1846    0.88
    July    10  0   100     1127    0.95
    August  3   0   146     1881    2.2
    September   8   0   127     1867    0.64
    October     1   0   176     2757    0.23
    November    0   0   329     1994    0
    December    1   0   414     2055    -0.21
2010    January     4   0   678     1703    0.35
    February    0   1   637     1551    0.75
    March   6   1   698     1638    1.08
    April   0   1   878     1344    0.43
    May     1   2   742     1746    1.4
    June    0   1   491     1307    0.91
    July    0   1   505     1173    1.46
    August  0   0   329     1337    0
    September   0   1   425     860     0.7
    October     0   1   204     434     0.1
    November    5   2   314     1286    0.73
    December    2   2   256     1075    1.3
2011    January     0   0   197     1002    0
    February    3   2   393     1805    0.81
    March   1   3   978     443     1.45
    April   0   1   1370    1043    0.91
    May     1   4   1114    659     0.96
    June    2   1   692     252     1.02
    July    7   0   709     246     1.58
    August  0   1   897     216     0.81
    September   0   5   1404    388     1.22
    October     1   0   1665    427     0.88
    November    2   2   1890    601     0.73
    December    3   2   1923    927     0.96
2012    January     2   0   2033    740     0.55
    February    2   0   1471    159     0.81
    March   4   15  1348    95  0.75
    April   9   17  1379    310     1.65
    May     30  6   1740    417     1.58
    June    2   0   1290    372     1.02
    July    3   2   888     519     0.88
    August  0   0   792     988     0
    September   27  0   1077    847     1.45
    October     3   4   1920    1359    0.64
    November    2   4   1332    1289    1.08
    December    12  1   1873    na  1.2
